# t x1 y1 x2 y2 x3 y3
    0.690000    1.071470    0.076090   -0.361241    0.279450   -0.710229   -0.355541
    0.700000    1.070245    0.080763   -0.350438    0.273739   -0.719807   -0.354502
    0.710000    1.068944    0.085435   -0.339683    0.267858   -0.729261   -0.353293
    0.720000    1.067565    0.090107   -0.328977    0.261814   -0.738588   -0.351920
    0.730000    1.066108    0.094777   -0.318323    0.255611   -0.747786   -0.350388
    0.740000    1.064572    0.099447   -0.307722    0.249253   -0.756850   -0.348701
    0.750000    1.062957    0.104116   -0.297177    0.242748   -0.765780   -0.346864
    0.760000    1.061260    0.108784   -0.286688    0.236098   -0.774572   -0.344882
    0.770000    1.059482    0.113450   -0.276257    0.229311   -0.783226   -0.342761
    0.780000    1.057622    0.118114   -0.265883    0.222391   -0.791739   -0.340504
    0.790000    1.055679    0.122776   -0.255568    0.215343   -0.800110   -0.338118
    0.800000    1.053651    0.127435   -0.245312    0.208172   -0.808339   -0.335607
    0.810000    1.051538    0.132092   -0.235114    0.200885   -0.816424   -0.332977
    0.820000    1.049339    0.136745   -0.224974    0.193486   -0.824364   -0.330231
    0.830000    1.047052    0.141394   -0.214892    0.185980   -0.832160   -0.327375
    0.840000    1.044676    0.146039   -0.204866    0.178373   -0.839810   -0.324413
    0.850000    1.042211    0.150680   -0.194896    0.170670   -0.847316   -0.321350
    0.860000    1.039655    0.155315   -0.184980    0.162875   -0.854676   -0.318190
    0.870000    1.037007    0.159944   -0.175117    0.154994   -0.861891   -0.314938
    0.880000    1.034266    0.164566   -0.165304    0.147032   -0.868962   -0.311599
    0.890000    1.031430    0.169182   -0.155542    0.138994   -0.875888   -0.308175
    0.900000    1.028498    0.173789   -0.145826    0.130884   -0.882672   -0.304672
    0.910000    1.025468    0.178387   -0.136155    0.122707   -0.889313   -0.301094
    0.920000    1.022340    0.182975   -0.126528    0.114468   -0.895812   -0.297443
    0.930000    1.019111    0.187553   -0.116940    0.106171   -0.902171   -0.293724
    0.940000    1.015781    0.192119   -0.107391    0.097822   -0.908390   -0.289941
    0.950000    1.012348    0.196672   -0.097877    0.089424   -0.914472   -0.286096
    0.960000    1.008811    0.201212   -0.088395    0.080982   -0.920416   -0.282193
    0.970000    1.005167    0.205736   -0.078943    0.072500   -0.926224   -0.278236
    0.980000    1.001415    0.210244   -0.069517    0.063983   -0.931898   -0.274227
    0.990000    0.997554    0.214734   -0.060115    0.055436   -0.937439   -0.270170
    1.000000    0.993583    0.219205   -0.050734    0.046861   -0.942849   -0.266066
    1.010000    0.989499    0.223655   -0.041371    0.038264   -0.948128   -0.261920
    1.020000    0.985301    0.228084   -0.032021    0.029649   -0.953280   -0.257732
    1.030000    0.980987    0.232488   -0.022683    0.021020   -0.958304   -0.253507
    1.040000    0.976556    0.236866   -0.013353    0.012380   -0.963204   -0.249246
    1.050000    0.972007    0.241217   -0.004027    0.003735   -0.967979   -0.244952
    1.060000    0.967336    0.245539    0.005297   -0.004912   -0.972633   -0.240626
    1.070000    0.962544    0.249829    0.014623   -0.013557   -0.977167   -0.236272
    1.080000    0.957627    0.254085    0.023954   -0.022196   -0.981582   -0.231889
    1.090000    0.952586    0.258305    0.033294   -0.030823   -0.985879   -0.227482
    1.100000    0.947417    0.262487    0.042645   -0.039436   -0.990062   -0.223050
    1.110000    0.942120    0.266628    0.052011   -0.048031   -0.994130   -0.218597
    1.120000    0.936692    0.270725    0.061395   -0.056602   -0.998087   -0.214123
    1.130000    0.931133    0.274776    0.070800   -0.065145   -1.001933   -0.209631
    1.140000    0.925441    0.278778    0.080229   -0.073658   -1.005669   -0.205121
    1.150000    0.919614    0.282728    0.089685   -0.082134   -1.009299   -0.200594
    1.160000    0.913651    0.286623    0.099171   -0.090570   -1.012822   -0.196053
    1.170000    0.907552    0.290460    0.108689   -0.098962   -1.016241   -0.191498
    1.180000    0.901313    0.294235    0.118244   -0.107304   -1.019557   -0.186930
    1.190000    0.894935    0.297944    0.127837   -0.115593   -1.022772   -0.182351
    1.200000    0.888417    0.301585    0.137470   -0.123824   -1.025887   -0.177761
