            # x            Gamma(x)
      -3.347424            0.375138
      -3.342921            0.380258
      -3.338419            0.385545
      -3.333917            0.391006
      -3.329415            0.396648
      -3.324912            0.402478
      -3.320410            0.408504
      -3.315908            0.414734
      -3.311406            0.421177
      -3.306903            0.427843
      -3.302401            0.434740
      -3.297899            0.441880
      -3.293397            0.449274
      -3.288894            0.456932
      -3.284392            0.464869
      -3.279890            0.473097
      -3.275388            0.481630
      -3.270885            0.490484
      -3.266383            0.499675
      -3.261881            0.509220
      -3.257379            0.519137
      -3.252876            0.529448
      -3.248374            0.540173
      -3.243872            0.551335
      -3.239370            0.562958
      -3.234867            0.575071
      -3.230365            0.587700
      -3.225863            0.600878
      -3.221361            0.614638
      -3.216858            0.629015
      -3.212356            0.644051
      -3.207854            0.659787
      -3.203352            0.676270
      -3.198849            0.693552
      -3.194347            0.711687
      -3.189845            0.730738
      -3.185343            0.750770
      -3.180840            0.771858
      -3.176338            0.794083
      -3.171836            0.817534
      -3.167334            0.842311
      -3.162831            0.868524
      -3.158329            0.896295
      -3.153827            0.925764
      -3.149325            0.957082
      -3.144822            0.990424
      -3.140320            1.025985
      -3.135818            1.063986
      -3.131316            1.104678
      -3.126813            1.148349
      -3.122311            1.195329
      -3.117809            1.245998
      -3.113307            1.300797
      -3.108804            1.360238
      -3.104302            1.424924
      -3.099800            1.495567
      -3.095298            1.573011
      -3.090795            1.658270
      -3.086293            1.752568
      -3.081791            1.857399
      -3.077289            1.974606
      -3.072786            2.106487
      -3.068284            2.255946
      -3.063782            2.426709
      -3.059280            2.623630
      -3.054777            2.853164
      -3.050275            3.124074
      -3.045773            3.448573
      -3.041271            3.844203
      -3.036768            4.337099
      -3.032266            4.967980
      -3.027764            5.803983
      -3.023262            6.964215
      -3.018759            8.682131
      -3.014257           11.486078
      -3.009755           16.879809
      -3.005253                 NaN
      -3.000750                 NaN
      -2.996248                 NaN
      -2.991746                 NaN
      -2.987244          -13.279646
      -2.982741           -9.873062
      -2.978239           -7.876848
      -2.973737           -6.565680
      -2.969235           -5.638812
      -2.964732           -4.949072
      -2.960230           -4.415934
      -2.955728           -3.991624
      -2.951226           -3.646012
      -2.946723           -3.359151
      -2.942221           -3.117310
      -2.937719           -2.910732
      -2.933217           -2.732288
      -2.928714           -2.576652
      -2.924212           -2.439763
      -2.919710           -2.318470
      -2.915208           -2.210294
      -2.910705           -2.113252
      -2.906203           -2.025747
      -2.901701           -1.946469
      -2.897199           -1.874342
      -2.892696           -1.808469
      -2.888194           -1.748097
      -2.883692           -1.692590
      -2.879190           -1.641409
      -2.874687           -1.594088
      -2.870185           -1.550230
      -2.865683           -1.509489
      -2.861181           -1.471566
      -2.856678           -1.436196
      -2.852176           -1.403151
      -2.847674           -1.372225
      -2.843172           -1.343241
      -2.838669           -1.316038
      -2.834167           -1.290473
