            # x            Gamma(x)
       0.578539            1.540568
       0.583042            1.529425
       0.587544            1.518480
       0.592046            1.507728
       0.596548            1.497165
       0.601051            1.486787
       0.605553            1.476589
       0.610055            1.466568
       0.614557            1.456719
       0.619060            1.447039
       0.623562            1.437524
       0.628064            1.428171
       0.632566            1.418975
       0.637069            1.409934
       0.641571            1.401044
       0.646073            1.392302
       0.650575            1.383705
       0.655078            1.375249
       0.659580            1.366933
       0.664082            1.358753
       0.668584            1.350707
       0.673087            1.342791
       0.677589            1.335003
       0.682091            1.327341
       0.686593            1.319801
       0.691096            1.312382
       0.695598            1.305082
       0.700100            1.297897
       0.704602            1.290826
       0.709105            1.283866
       0.713607            1.277016
       0.718109            1.270273
       0.722611            1.263636
       0.727114            1.257102
       0.731616            1.250669
       0.736118            1.244336
       0.740620            1.238101
       0.745123            1.231961
       0.749625            1.225916
       0.754127            1.219964
       0.758629            1.214102
       0.763132            1.208330
       0.767634            1.202645
       0.772136            1.197047
       0.776638            1.191533
       0.781141            1.186103
       0.785643            1.180755
       0.790145            1.175487
       0.794647            1.170298
       0.799150            1.165187
       0.803652            1.160152
       0.808154            1.155192
       0.812656            1.150307
       0.817159            1.145494
       0.821661            1.140753
       0.826163            1.136083
       0.830665            1.131481
       0.835168            1.126948
       0.839670            1.122482
       0.844172            1.118083
       0.848674            1.113748
       0.853177            1.109477
       0.857679            1.105269
       0.862181            1.101124
       0.866683            1.097039
       0.871186            1.093015
       0.875688            1.089050
       0.880190            1.085144
       0.884692            1.081295
       0.889195            1.077503
       0.893697            1.073767
       0.898199            1.070086
       0.902701            1.066459
       0.907204            1.062886
       0.911706            1.059365
       0.916208            1.055897
       0.920710            1.052480
       0.925213            1.049113
       0.929715            1.045796
       0.934217            1.042529
       0.938719            1.039310
       0.943222            1.036139
       0.947724            1.033015
       0.952226            1.029938
       0.956728            1.026906
       0.961231            1.023920
       0.965733            1.020979
       0.970235            1.018082
       0.974737            1.015228
       0.979240            1.012418
       0.983742            1.009650
       0.988244            1.006924
       0.992746            1.004239
       0.997249            1.001596
       1.001751            0.998992
       1.006253            0.996429
       1.010755            0.993905
       1.015258            0.991420
       1.019760            0.988974
       1.024262            0.986565
       1.028764            0.984194
       1.033267            0.981860
       1.037769            0.979563
       1.042271            0.977302
       1.046773            0.975077
       1.051276            0.972887
       1.055778            0.970733
       1.060280            0.968613
       1.064782            0.966527
       1.069285            0.964475
       1.073787            0.962457
       1.078289            0.960471
       1.082791            0.958519
       1.087294            0.956598
       1.091796            0.954710
       1.096298            0.952854
       1.100800            0.951029
       1.105303            0.949235
       1.109805            0.947471
       1.114307            0.945738
       1.118809            0.944035
       1.123312            0.942362
       1.127814            0.940719
       1.132316            0.939105
       1.136818            0.937519
       1.141321            0.935962
       1.145823            0.934434
       1.150325            0.932934
       1.154827            0.931461
       1.159330            0.930016
       1.163832            0.928598
       1.168334            0.927207
       1.172836            0.925843
       1.177339            0.924506
       1.181841            0.923195
       1.186343            0.921910
       1.190845            0.920651
       1.195348            0.919417
       1.199850            0.918209
       1.204352            0.917025
       1.208854            0.915867
       1.213357            0.914734
       1.217859            0.913625
       1.222361            0.912540
       1.226863            0.911480
       1.231366            0.910443
       1.235868            0.909430
       1.240370            0.908441
       1.244872            0.907475
       1.249375            0.906532
       1.253877            0.905612
       1.258379            0.904715
       1.262881            0.903840
       1.267384            0.902988
       1.271886            0.902158
       1.276388            0.901351
       1.280890            0.900565
       1.285393            0.899801
       1.289895            0.899059
       1.294397            0.898338
       1.298899            0.897638
       1.303402            0.896960
       1.307904            0.896303
       1.312406            0.895667
       1.316908            0.895051
       1.321411            0.894456
       1.325913            0.893882
       1.330415            0.893328
       1.334917            0.892794
       1.339420            0.892280
       1.343922            0.891787
       1.348424            0.891313
       1.352926            0.890858
       1.357429            0.890424
       1.361931            0.890009
       1.366433            0.889613
       1.370935            0.889237
       1.375438            0.888880
       1.379940            0.888542
       1.384442            0.888222
       1.388944            0.887922
       1.393447            0.887640
       1.397949            0.887377
       1.402451            0.887133
       1.406953            0.886907
       1.411456            0.886700
       1.415958            0.886510
       1.420460            0.886339
       1.424962            0.886186
       1.429465            0.886051
       1.433967            0.885934
       1.438469            0.885835
       1.442971            0.885753
       1.447474            0.885689
       1.451976            0.885643
       1.456478            0.885615
       1.460980            0.885603
       1.465483            0.885610
       1.469985            0.885633
       1.474487            0.885674
       1.478989            0.885732
       1.483492            0.885807
       1.487994            0.885899
       1.492496            0.886008
       1.496998            0.886134
       1.501501            0.886276
       1.506003            0.886436
       1.510505            0.886612
       1.515008            0.886805
       1.519510            0.887015
       1.524012            0.887241
       1.528514            0.887484
       1.533017            0.887743
       1.537519            0.888019
       1.542021            0.888311
       1.546523            0.888619
       1.551026            0.888944
       1.555528            0.889285
       1.560030            0.889642
       1.564532            0.890015
       1.569035            0.890404
       1.573537            0.890810
       1.578039            0.891231
       1.582541            0.891668
       1.587044            0.892122
       1.591546            0.892591
       1.596048            0.893076
       1.600550            0.893577
       1.605053            0.894094
       1.609555            0.894627
       1.614057            0.895176
       1.618559            0.895740
       1.623062            0.896320
       1.627564            0.896915
       1.632066            0.897527
       1.636568            0.898154
       1.641071            0.898796
       1.645573            0.899454
       1.650075            0.900128
       1.654577            0.900817
       1.659080            0.901522
       1.663582            0.902243
       1.668084            0.902979
       1.672586            0.903730
       1.677089            0.904497
       1.681591            0.905279
       1.686093            0.906077
       1.690595            0.906890
       1.695098            0.907719
       1.699600            0.908563
       1.704102            0.909422
       1.708604            0.910297
       1.713107            0.911188
       1.717609            0.912093
       1.722111            0.913014
       1.726613            0.913951
       1.731116            0.914903
       1.735618            0.915870
       1.740120            0.916852
       1.744622            0.917850
       1.749125            0.918864
       1.753627            0.919892
       1.758129            0.920936
       1.762631            0.921996
       1.767134            0.923071
       1.771636            0.924161
       1.776138            0.925267
       1.780640            0.926388
       1.785143            0.927524
       1.789645            0.928676
       1.794147            0.929843
       1.798649            0.931026
       1.803152            0.932224
       1.807654            0.933438
       1.812156            0.934667
       1.816658            0.935911
       1.821161            0.937171
       1.825663            0.938447
       1.830165            0.939738
       1.834667            0.941045
       1.839170            0.942367
       1.843672            0.943705
       1.848174            0.945058
       1.852676            0.946427
       1.857179            0.947811
       1.861681            0.949212
       1.866183            0.950628
       1.870685            0.952059
       1.875188            0.953506
       1.879690            0.954969
       1.884192            0.956448
       1.888694            0.957943
       1.893197            0.959453
       1.897699            0.960980
       1.902201            0.962522
       1.906703            0.964080
       1.911206            0.965654
       1.915708            0.967244
       1.920210            0.968850
       1.924712            0.970472
       1.929215            0.972110
       1.933717            0.973764
       1.938219            0.975434
       1.942721            0.977120
       1.947224            0.978823
       1.951726            0.980541
       1.956228            0.982276
       1.960730            0.984028
       1.965233            0.985795
       1.969735            0.987579
       1.974237            0.989380
       1.978739            0.991197
       1.983242            0.993030
       1.987744            0.994880
       1.992246            0.996747
       1.996748            0.998630
       2.001251            1.000529
       2.005753            1.002446
       2.010255            1.004379
       2.014757            1.006329
       2.019260            1.008296
       2.023762            1.010280
       2.028264            1.012281
       2.032766            1.014298
       2.037269            1.016333
       2.041771            1.018385
       2.046273            1.020454
       2.050775            1.022540
       2.055278            1.024643
       2.059780            1.026764
       2.064282            1.028902
       2.068784            1.031058
       2.073287            1.033231
       2.077789            1.035421
       2.082291            1.037629
       2.086793            1.039855
       2.091296            1.042098
       2.095798            1.044359
       2.100300            1.046638
       2.104802            1.048935
       2.109305            1.051250
       2.113807            1.053583
       2.118309            1.055933
       2.122811            1.058302
       2.127314            1.060690
       2.131816            1.063095
       2.136318            1.065519
       2.140820            1.067961
       2.145323            1.070421
       2.149825            1.072900
       2.154327            1.075398
       2.158829            1.077914
       2.163332            1.080449
       2.167834            1.083003
       2.172336            1.085576
       2.176838            1.088168
       2.181341            1.090778
       2.185843            1.093408
       2.190345            1.096057
       2.194847            1.098725
       2.199350            1.101413
       2.203852            1.104120
       2.208354            1.106846
       2.212856            1.109592
       2.217359            1.112358
       2.221861            1.115143
       2.226363            1.117948
       2.230865            1.120773
       2.235368            1.123618
       2.239870            1.126483
       2.244372            1.129368
       2.248874            1.132274
       2.253377            1.135199
       2.257879            1.138145
       2.262381            1.141112
       2.266883            1.144099
       2.271386            1.147107
       2.275888            1.150135
       2.280390            1.153185
       2.284892            1.156255
       2.289395            1.159346
       2.293897            1.162459
       2.298399            1.165593
       2.302901            1.168748
       2.307404            1.171924
       2.311906            1.175122
       2.316408            1.178341
       2.320910            1.181583
       2.325413            1.184846
       2.329915            1.188131
       2.334417            1.191437
       2.338919            1.194767
       2.343422            1.198118
       2.347924            1.201491
       2.352426            1.204887
       2.356928            1.208306
       2.361431            1.211747
       2.365933            1.215211
       2.370435            1.218698
       2.374937            1.222207
       2.379440            1.225740
       2.383942            1.229296
       2.388444            1.232875
       2.392946            1.236478
       2.397449            1.240104
       2.401951            1.243754
       2.406453            1.247427
       2.410955            1.251125
       2.415458            1.254846
       2.419960            1.258592
       2.424462            1.262362
       2.428964            1.266156
       2.433467            1.269974
       2.437969            1.273818
       2.442471            1.277685
       2.446973            1.281578
       2.451476            1.285496
       2.455978            1.289439
       2.460480            1.293407
       2.464982            1.297400
       2.469485            1.301419
       2.473987            1.305464
       2.478489            1.309534
       2.482991            1.313630
       2.487494            1.317752
       2.491996            1.321901
       2.496498            1.326075
       2.501001            1.330276
       2.505503            1.334504
       2.510005            1.338758
       2.514507            1.343039
       2.519010            1.347348
       2.523512            1.351683
       2.528014            1.356045
       2.532516            1.360435
       2.537019            1.364853
       2.541521            1.369298
       2.546023            1.373771
       2.550525            1.378273
       2.555028            1.382802
       2.559530            1.387359
       2.564032            1.391946
       2.568534            1.396560
       2.573037            1.401204
       2.577539            1.405876
       2.582041            1.410578
       2.586543            1.415309
       2.591046            1.420069
       2.595548            1.424859
       2.600050            1.429678
       2.604552            1.434528
       2.609055            1.439407
       2.613557            1.444317
       2.618059            1.449257
       2.622561            1.454228
       2.627064            1.459229
       2.631566            1.464262
       2.636068            1.469325
       2.640570            1.474420
       2.645073            1.479546
       2.649575            1.484704
       2.654077            1.489894
       2.658579            1.495115
       2.663082            1.500369
       2.667584            1.505655
       2.672086            1.510973
       2.676588            1.516325
       2.681091            1.521709
       2.685593            1.527126
       2.690095            1.532577
       2.694597            1.538061
       2.699100            1.543578
       2.703602            1.549130
       2.708104            1.554715
       2.712606            1.560335
       2.717109            1.565989
       2.721611            1.571678
       2.726113            1.577402
       2.730615            1.583160
       2.735118            1.588954
       2.739620            1.594783
       2.744122            1.600648
       2.748624            1.606549
       2.753127            1.612486
       2.757629            1.618459
       2.762131            1.624469
       2.766633            1.630515
       2.771136            1.636599
       2.775638            1.642719
       2.780140            1.648877
       2.784642            1.655072
       2.789145            1.661305
       2.793647            1.667576
       2.798149            1.673886
       2.802651            1.680234
       2.807154            1.686620
       2.811656            1.693046
       2.816158            1.699510
       2.820660            1.706014
       2.825163            1.712558
       2.829665            1.719142
       2.834167            1.725765
       2.838669            1.732429
       2.843172            1.739134
       2.847674            1.745879
       2.852176            1.752666
       2.856678            1.759494
       2.861181            1.766363
       2.865683            1.773275
       2.870185            1.780228
       2.874687            1.787224
       2.879190            1.794262
       2.883692            1.801343
       2.888194            1.808467
       2.892696            1.815635
       2.897199            1.822846
       2.901701            1.830101
       2.906203            1.837400
       2.910705            1.844744
       2.915208            1.852133
       2.919710            1.859566
       2.924212            1.867045
       2.928714            1.874569
       2.933217            1.882139
       2.937719            1.889755
       2.942221            1.897418
       2.946723            1.905127
       2.951226            1.912883
       2.955728            1.920687
       2.960230            1.928538
       2.964732            1.936437
       2.969235            1.944384
       2.973737            1.952379
       2.978239            1.960423
       2.982741            1.968516
       2.987244            1.976659
       2.991746            1.984851
       2.996248            1.993093
       3.000750            2.001386
       3.005253            2.009729
       3.009755            2.018122
       3.014257            2.026568
       3.018759            2.035064
       3.023262            2.043613
       3.027764            2.052213
       3.032266            2.060867
       3.036768            2.069573
       3.041271            2.078332
       3.045773            2.087145
       3.050275            2.096011
       3.054777            2.104932
       3.059280            2.113907
       3.063782            2.122938
       3.068284            2.132023
       3.072786            2.141164
       3.077289            2.150361
       3.081791            2.159614
       3.086293            2.168924
       3.090795            2.178291
       3.095298            2.187716
       3.099800            2.197198
       3.104302            2.206738
       3.108804            2.216336
       3.113307            2.225994
       3.117809            2.235710
       3.122311            2.245486
       3.126813            2.255323
       3.131316            2.265219
       3.135818            2.275177
       3.140320            2.285195
       3.144822            2.295275
       3.149325            2.305417
       3.153827            2.315621
       3.158329            2.325888
       3.162831            2.336218
       3.167334            2.346612
       3.171836            2.357070
       3.176338            2.367592
       3.180840            2.378179
       3.185343            2.388831
       3.189845            2.399548
       3.194347            2.410332
       3.198849            2.421182
       3.203352            2.432099
       3.207854            2.443083
       3.212356            2.454136
       3.216858            2.465256
       3.221361            2.476445
       3.225863            2.487703
       3.230365            2.499031
       3.234867            2.510429
       3.239370            2.521897
       3.243872            2.533436
       3.248374            2.545047
       3.252876            2.556729
       3.257379            2.568484
       3.261881            2.580311
       3.266383            2.592212
       3.270885            2.604187
       3.275388            2.616236
       3.279890            2.628360
       3.284392            2.640558
       3.288894            2.652833
       3.293397            2.665184
       3.297899            2.677611
       3.302401            2.690116
       3.306903            2.702699
       3.311406            2.715360
       3.315908            2.728099
       3.320410            2.740918
       3.324912            2.753817
       3.329415            2.766796
       3.333917            2.779856
       3.338419            2.792997
       3.342921            2.806221
       3.347424            2.819527
       3.351926            2.832916
       3.356428            2.846388
       3.360930            2.859945
       3.365433            2.873586
       3.369935            2.887313
       3.374437            2.901126
       3.378939            2.915025
       3.383442            2.929011
       3.387944            2.943084
       3.392446            2.957246
       3.396948            2.971497
       3.401451            2.985837
       3.405953            3.000267
       3.410455            3.014787
       3.414957            3.029399
       3.419460            3.044102
       3.423962            3.058898
       3.428464            3.073787
       3.432966            3.088770
       3.437469            3.103847
       3.441971            3.119018
       3.446473            3.134286
       3.450975            3.149649
       3.455478            3.165109
       3.459980            3.180667
       3.464482            3.196323
       3.468984            3.212078
       3.473487            3.227932
       3.477989            3.243887
       3.482491            3.259942
       3.486993            3.276099
       3.491496            3.292358
       3.495998            3.308720
       3.500500            3.325186
       3.505003            3.341756
       3.509505            3.358430
       3.514007            3.375211
       3.518509            3.392098
       3.523012            3.409093
       3.527514            3.426195
       3.532016            3.443406
       3.536518            3.460726
       3.541021            3.478156
       3.545523            3.495698
       3.550025            3.513351
       3.554527            3.531116
       3.559030            3.548994
       3.563532            3.566987
       3.568034            3.585094
       3.572536            3.603317
       3.577039            3.621656
       3.581541            3.640112
       3.586043            3.658686
       3.590545            3.677379
       3.595048            3.696191
       3.599550            3.715124
       3.604052            3.734178
       3.608554            3.753354
       3.613057            3.772653
       3.617559            3.792075
       3.622061            3.811622
       3.626563            3.831295
       3.631066            3.851093
       3.635568            3.871019
       3.640070            3.891073
       3.644572            3.911256
       3.649075            3.931569
       3.653577            3.952013
       3.658079            3.972588
       3.662581            3.993296
       3.667084            4.014137
       3.671586            4.035112
       3.676088            4.056223
       3.680590            4.077470
       3.685093            4.098854
       3.689595            4.120377
       3.694097            4.142039
       3.698599            4.163840
       3.703102            4.185783
       3.707604            4.207868
       3.712106            4.230096
       3.716608            4.252468
       3.721111            4.274985
       3.725613            4.297648
       3.730115            4.320458
       3.734617            4.343416
       3.739120            4.366523
       3.743622            4.389781
       3.748124            4.413190
       3.752626            4.436751
       3.757129            4.460465
       3.761631            4.484334
       3.766133            4.508359
       3.770635            4.532540
       3.775138            4.556879
       3.779640            4.581376
       3.784142            4.606034
       3.788644            4.630853
       3.793147            4.655834
       3.797649            4.680978
       3.802151            4.706287
       3.806653            4.731761
       3.811156            4.757403
       3.815658            4.783212
       3.820160            4.809190
       3.824662            4.835339
       3.829165            4.861660
       3.833667            4.888153
       3.838169            4.914820
       3.842671            4.941663
       3.847174            4.968682
       3.851676            4.995879
       3.856178            5.023255
       3.860680            5.050811
       3.865183            5.078549
       3.869685            5.106470
       3.874187            5.134575
       3.878689            5.162865
       3.883192            5.191342
       3.887694            5.220007
       3.892196            5.248862
       3.896698            5.277908
       3.901201            5.307145
       3.905703            5.336577
       3.910205            5.366203
       3.914707            5.396025
       3.919210            5.426046
       3.923712            5.456265
       3.928214            5.486685
       3.932716            5.517307
       3.937219            5.548132
       3.941721            5.579162
       3.946223            5.610399
       3.950725            5.641844
       3.955228            5.673497
       3.959730            5.705362
       3.964232            5.737439
       3.968734            5.769730
       3.973237            5.802236
       3.977739            5.834960
       3.982241            5.867901
       3.986743            5.901063
       3.991246            5.934447
       3.995748            5.968054
       4.000250            6.001885
       4.004752            6.035944
       4.009255            6.070230
       4.013757            6.104746
       4.018259            6.139494
       4.022761            6.174475
       4.027264            6.209690
       4.031766            6.245142
       4.036268            6.280833
       4.040770            6.316763
       4.045273            6.352935
       4.049775            6.389350
       4.054277            6.426011
       4.058779            6.462918
       4.063282            6.500074
       4.067784            6.537481
       4.072286            6.575140
       4.076788            6.613054
       4.081291            6.651223
       4.085793            6.689651
       4.090295            6.728338
       4.094797            6.767287
       4.099300            6.806499
       4.103802            6.845977
       4.108304            6.885723
       4.112806            6.925738
       4.117309            6.966024
       4.121811            7.006584
       4.126313            7.047419
       4.130815            7.088531
       4.135318            7.129923
       4.139820            7.171596
       4.144322            7.213553
       4.148824            7.255795
       4.153327            7.298325
       4.157829            7.341145
       4.162331            7.384257
       4.166833            7.427663
       4.171336            7.471364
       4.175838            7.515365
       4.180340            7.559666
       4.184842            7.604269
       4.189345            7.649178
       4.193847            7.694394
       4.198349            7.739919
       4.202851            7.785756
       4.207354            7.831907
       4.211856            7.878375
       4.216358            7.925161
       4.220860            7.972268
       4.225363            8.019699
       4.229865            8.067456
       4.234367            8.115541
       4.238869            8.163956
       4.243372            8.212705
       4.247874            8.261789
       4.252376            8.311211
       4.256878            8.360974
       4.261381            8.411080
       4.265883            8.461532
       4.270385            8.512331
       4.274887            8.563482
       4.279390            8.614985
       4.283892            8.666845
       4.288394            8.719063
       4.292896            8.771643
       4.297399            8.824587
       4.301901            8.877897
       4.306403            8.931577
       4.310905            8.985629
       4.315408            9.040055
       4.319910            9.094860
       4.324412            9.150045
       4.328914            9.205613
       4.333417            9.261568
       4.337919            9.317912
       4.342421            9.374647
       4.346923            9.431778
       4.351426            9.489307
       4.355928            9.547236
       4.360430            9.605569
       4.364932            9.664310
       4.369435            9.723460
       4.373937            9.783023
       4.378439            9.843002
       4.382941            9.903401
       4.387444            9.964221
       4.391946           10.025468
       4.396448           10.087143
       4.400950           10.149249
       4.405453           10.211792
       4.409955           10.274772
       4.414457           10.338194
       4.418959           10.402062
       4.423462           10.466377
       4.427964           10.531145
       4.432466           10.596368
       4.436968           10.662049
       4.441471           10.728192
       4.445973           10.794801
       4.450475           10.861879
       4.454977           10.929430
       4.459480           10.997457
       4.463982           11.065963
       4.468484           11.134953
       4.472986           11.204430
       4.477489           11.274398
       4.481991           11.344860
       4.486493           11.415820
       4.490995           11.487283
       4.495498           11.559251
       4.500000           11.631728
